"age","annual_salary","professional_experience_years","highest_edu_level","gender","industry","job_title"
"35-44",62000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Editor"
"25-34",63000,"5-7 years","College degree","Woman","Nonprofits","Program Associate"
"35-44",86000,"11 - 20 years","College degree","Woman","Nonprofits","Online Sales Support Manager"
"35-44",42000,"11 - 20 years","Master's degree","Man","Education (Higher Education)","Research Technologist"
"55-64",114000,"21 - 30 years","College degree","Man","Biopharma","RIM Manager"
"45-54",73000,"31 - 40 years","High School","Woman","Insurance","Senior Client Service Representative"
"45-54",1e+05,"21 - 30 years","Master's degree","Woman","Health care","Clinical analyst"
"18-24",60129,"2 - 4 years","Master's degree","Woman","Government and Public Administration","Policy Analyst"
"45-54",135000,"11 - 20 years","PhD","Woman","STEM research","Research Scientist"
"25-34",130000,"11 - 20 years","College degree","Woman","Computing or Tech","Service Designer"
"25-34",26000,"2 - 4 years","Master's degree","Woman","Libraries","Librarian"
"25-34",60000,"5-7 years","Master's degree","Woman","Accounting, Banking & Finance","Senior Accountant"
"35-44",37000,"11 - 20 years","College degree","Woman","Nonprofits","Administrative Assistant"
"25-34",85000,"5-7 years","College degree","Woman","Engineering or Manufacturing","User experience specialist"
"35-44",45000,"11 - 20 years","College degree","Woman","Media & Digital","Self-employed writer"
"25-34",92000,"8 - 10 years","Master's degree","Woman","Nonprofits","Director of Development"
"25-34",65000,"5-7 years","College degree","Man","Engineering or Manufacturing","Production Technician"
"35-44",35000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Graphic Designer"
"25-34",74000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Compliance Officer"
"25-34",102500,"5-7 years","College degree","Man","Engineering or Manufacturing","Director of Intelligence"
"35-44",70000,"11 - 20 years","Master's degree","Woman","Nonprofits","Coordinator of Survivor Services"
"45-54",140000,"21 - 30 years","College degree","Woman","Computing or Tech","Software Development Manager"
"35-44",58000,"11 - 20 years","Master's degree","Woman","Architecture","Project Architect"
"35-44",4e+05,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Brand Consultant"
"35-44",61200,"11 - 20 years","Master's degree","Woman","Nonprofits","HR director"
"25-34",66000,"2 - 4 years","College degree","Woman","Recruitment or HR","Talent Acquisition Specialist"
"35-44",70000,"8 - 10 years","College degree","Woman","Computing or Tech","technical support specialist"
"25-34",52000,"5-7 years","College degree","Woman","Education (Higher Education)","Communications Specialist"
"45-54",75500,"21 - 30 years","College degree","Woman","Property or Construction","CAD Manager"
"25-34",57000,"8 - 10 years","Master's degree","Woman","Marketing, Advertising & PR","Content Strategist and Writer"
"25-34",83200,"8 - 10 years","Master's degree","Woman","Nonprofits","Associate"
"18-24",77500,"2 - 4 years","College degree","Woman","Marketing, Advertising & PR","Manager, Planning"
"35-44",31200,"11 - 20 years","College degree","Woman","Retail","Fulfillment Expert"
"35-44",215000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Associate Creative Director"
"25-34",55000,"8 - 10 years","College degree","Man","Academic Medicine","Administrative Specialist"
"45-54",220000,"11 - 20 years","PhD","Woman","Law","Senior Corporate Counsel"
"25-34",1e+05,"8 - 10 years","College degree","Woman","Retail","Head of Data & Analytics"
"25-34",80000,"5-7 years","Master's degree","Woman","Computing or Tech","Systems Analyst"
"25-34",52500,"5-7 years","Master's degree","Woman","Education (Higher Education)","Librarian"
"25-34",94000,"2 - 4 years","College degree","Woman","Accounting, Banking & Finance","Lead business controls specialist"
"25-34",57000,"5-7 years","College degree","Woman","Engineering or Manufacturing","Product Engineer"
"35-44",83000,"8 - 10 years","College degree","Woman","Computing or Tech","Senior Technical Writer"
"35-44",90000,"11 - 20 years","College degree","Woman","Nonprofits","Senior Director"
"35-44",66950,"8 - 10 years","College degree","Woman","Hospitality & Events","Hotel Sales Manager"
"25-34",76000,"2 - 4 years","College degree","Woman","Government and Public Administration","Planner"
"25-34",70000,"8 - 10 years","Master's degree","Woman","Nonprofits","Information and Program Manager"
"35-44",80000,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Media and PR"
"35-44",70000,"11 - 20 years","Master's degree","Woman","Nonprofits","Technical assistance provider"
"25-34",34299,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Library Specialist"
"35-44",50000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Assistant Director, Student Affairs"
"35-44",85000,"11 - 20 years","College degree","Woman","Hospitality & Events","Director of Client Services"
"35-44",87000,"8 - 10 years","High School","Woman","Retail","Loss prevention manager"
"35-44",125000,"11 - 20 years","Master's degree","Woman","Law","Associate Attorney"
"35-44",55000,"11 - 20 years","College degree","Woman","Commercial Real Estate","Administrative Associate"
"55-64",275000,"31 - 40 years","Master's degree","Woman","Law","Attorney"
"25-34",48500,"5-7 years","College degree","Woman","Pet care industry (dog training/walking)","Operations Manager"
"35-44",139000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Software engineer"
"25-34",54080,"11 - 20 years","College degree","Woman","Law","Paralegal / Legal Assistant"
"35-44",170000,"11 - 20 years","Master's degree","Woman","Insurance","Manager & Actuary"
"45-54",70000,"21 - 30 years","Master's degree","Man","Education (Primary/Secondary)","Librarian"
"25-34",53000,"5-7 years","College degree","Woman","Nonprofits","Communications Associate"
"35-44",82160,"11 - 20 years","Master's degree","Woman","Health care","Cytotechnologist"
"25-34",71000,"11 - 20 years","College degree","Woman","Recruitment or HR","Onboarding Partner"
"18-24",25700,"5-7 years","College degree","Woman","Engineering or Manufacturing","Graduate Research Assitant"
"25-34",105000,"8 - 10 years","College degree","Woman","Politics","Deputy C-level"
"35-44",77000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Librarian, non-supervisory"
"35-44",50000,"11 - 20 years","Master's degree","Woman","Health care","Content Strategist"
"35-44",95000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","EOS"
"18-24",62000,"1 year or less","College degree","Woman","Business or Consulting","Data Analyst"
"35-44",75000,"11 - 20 years","College degree","Woman","Animal Health Product Manufacturing","Sr Associate - Quality Assurance"
"45-54",88000,"21 - 30 years","Master's degree","Woman","Computing or Tech","Business Analyst"
"25-34",31500,"8 - 10 years","College degree","Woman","Property or Construction","Assistant to Property Managers"
"25-34",76000,"5-7 years","Master's degree","Woman","Health care","IT Training Specialist"
"25-34",45760,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Reporting Analyst"
"25-34",86000,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Communications Manager"
"25-34",56000,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Admissions Advisor"
"25-34",67000,"8 - 10 years","College degree","Woman","Educational Technology - hybrid between book publishing and technology really","Business Development Specialist"
"25-34",125000,"5-7 years","Master's degree","Woman","Law","Associate"
"25-34",55000,"5-7 years","College degree","Woman","Property or Construction","Assistant Project Manager"
"35-44",125000,"11 - 20 years","College degree","Woman","Computing or Tech","Supply chain manager"
"25-34",60000,"8 - 10 years","College degree","Woman","Health care","RN"
"25-34",190000,"1 year or less","Master's degree","Woman","Law","Associate"
"45-54",60320,"21 - 30 years","College degree","Woman","Utilities & Telecommunications","Land Analyst"
"35-44",125000,"5-7 years","PhD","Woman","Pharmaceuticals","Regulatory affairs manager"
"45-54",94000,"21 - 30 years","PhD","Woman","Education (Primary/Secondary)","teacher"
"35-44",49000,"11 - 20 years","College degree","Woman","Government and Public Administration","Administrative Assistant"
"35-44",120000,"11 - 20 years","College degree","Woman","Nonprofits","Director of Development"
"55-64",135000,"31 - 40 years","College degree","Woman","Recruitment or HR","Consultant"
"35-44",40575,"8 - 10 years","College degree","Woman","Education (Higher Education)","Advancement Accounting Assistant"
"25-34",75500,"8 - 10 years","Master's degree","Woman","Nonprofits","Senior monitoring & evaluation adviser"
"25-34",115000,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Copy supervisor"
"35-44",70000,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Policy analyst"
"25-34",110000,"5-7 years","College degree","Woman","Computing or Tech","Visual Designer"
"18-24",29000,"1 year or less","College degree","Woman","Agriculture or Forestry","Engineering Student Trainee"
"55-64",61000,"31 - 40 years","College degree","Woman","Marketing, Advertising & PR","Graphic Designer"
"55-64",47250,"11 - 20 years","Master's degree","Woman","Nonprofits","Information Technology Specialist"
"35-44",96000,"11 - 20 years","College degree","Man","Engineering or Manufacturing","Sr. Piping Designer"
"35-44",45000,"11 - 20 years","College degree","Woman","Nonprofits","Digital Marketing Specialist"
"25-34",72000,"2 - 4 years","Master's degree","Woman","Philanthropy","Senior Program Support Associate"
"25-34",78167,"5-7 years","Master's degree","Woman","Government and Public Administration","Editor"
"25-34",132500,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Senior Operations Manager"
"45-54",124000,"21 - 30 years","Master's degree","Woman","Computing or Tech","IT Manager, Financial Systems"
"45-54",108000,"21 - 30 years","College degree","Man","Marketing, Advertising & PR","Sr Analytic Consultant"
"35-44",110000,"11 - 20 years","Master's degree","Woman","Accounting, Banking & Finance","Principal Consultant"
"35-44",83000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Assistant director, communications"
"25-34",110000,"8 - 10 years","Master's degree","Woman","Engineering or Manufacturing","Geostructural Design Engineer"
"25-34",45000,"5-7 years","Master's degree","Woman","Education (Higher Education)","Student Success Center Coordinator"
"25-34",91000,"11 - 20 years","PhD","Woman","Government and Public Administration","Editor"
"35-44",117000,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","QC Chemistry Manager"
"45-54",59000,"21 - 30 years","College degree","Woman","Insurance","Supervisor"
"35-44",71697,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Research administrator"
"45-54",90000,"31 - 40 years","College degree","Woman","Real Estate","Senior Property Manager"
"35-44",120000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Director of Alumni Communications"
"35-44",80000,"21 - 30 years","High School","Woman","Transport or Logistics","Executive Administrator"
"25-34",56000,"8 - 10 years","College degree","Woman","Transport or Logistics","HR Business Partner"
"45-54",47840,"21 - 30 years","College degree","Man","Engineering or Manufacturing","Product Support Representative"
"45-54",150000,"21 - 30 years","Master's degree","Woman","Consulting","Senior Hazard Mitigation Manager"
"45-54",150000,"21 - 30 years","Master's degree","Woman","Computing or Tech","Senior Manager of Customer Enablement"
"45-54",105000,"21 - 30 years","PhD","Woman","Environmental Consulting","Senior Consultant"
"25-34",1e+05,"2 - 4 years","College degree","Woman","Accounting, Banking & Finance","Equity Analyst"
"35-44",97500,"11 - 20 years","Master's degree","Woman","Engineering or Manufacturing","Project Manager-Tech Lead"
"25-34",1e+05,"5-7 years","College degree","Man","Accounting, Banking & Finance","Operations"
"45-54",125000,"21 - 30 years","College degree","Woman","Health care","Senior Project Specialist"
"35-44",63000,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Public Library Director"
"35-44",79000,"11 - 20 years","Master's degree","Woman","Archaeology / Cultural Resource Management","Principal Investigator"
"25-34",52000,"5-7 years","Master's degree","Man","Museum","Museum Technician"
"25-34",109000,"5-7 years","Master's degree","Woman","Government and Public Administration","Economist"
"45-54",120000,"21 - 30 years","Master's degree","Woman","Media & Digital","editor"
"35-44",70000,"11 - 20 years","Master's degree","Woman","Public library","Managing Librarian"
"35-44",110000,"11 - 20 years","College degree","Woman","Biotech","Manager of cGMP Manufacturing, QA, and QC"
"18-24",45000,"1 year or less","College degree","Woman","Accounting, Banking & Finance","Accountant"
"35-44",70000,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Senior Director of Public Policy"
"25-34",115000,"5-7 years","College degree","Man","Recruitment or HR","Talent Management Manager"
"25-34",64000,"5-7 years","College degree","Woman","Government and Public Administration","Analyst"
"55-64",66000,"31 - 40 years","College degree","Woman","Property or Construction","Accounting Manager"
"45-54",80000,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","Quality Manager"
"25-34",78000,"5-7 years","Master's degree","Woman","Government and Public Administration","Policy Analyst"
"18-24",65000,"2 - 4 years","Master's degree","Woman","Law","Attorney"
"65 or over",110000,"41 years or more","Master's degree","Woman","Health care","RN"
"35-44",114400,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Bookkeeper self-employed"
"25-34",111500,"11 - 20 years","Master's degree","Woman","Recruitment or HR","Senior Recruiter"
"25-34",58300,"5-7 years","College degree","Woman","Education (Higher Education)","Assistant Director of Undergraduate Admissions"
"25-34",7e+05,"11 - 20 years","College degree","Woman","Nonprofits","Director of strategic initiatives"
"45-54",130000,"11 - 20 years","College degree","Woman","Computing or Tech","Agile Coach"
"25-34",75000,"8 - 10 years","Master's degree","Woman","Public Library","Children's Librarian"
"35-44",126000,"11 - 20 years","College degree","Woman","Computing or Tech","principle product marketing manager"
"45-54",125000,"21 - 30 years","College degree","Man","Engineering or Manufacturing","Sr. Environmental Manager"
"35-44",38480,"11 - 20 years","College degree","Woman","Education (Higher Education)","Executive Office & Admin Specialist"
"35-44",36000,"11 - 20 years","Master's degree","Man","Nonprofits","Early Intervention developmental specialist"
"25-34",55000,"8 - 10 years","Master's degree","Woman","Nonprofits","Grants coordinator"
"25-34",53500,"8 - 10 years","College degree","Woman","Marketing, Advertising & PR","Account Executive"
"25-34",49600,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Youth Services Librarian"
"25-34",50000,"8 - 10 years","College degree","Woman","Nonprofits","Associate Director of Annual Giving"
"25-34",57750,"11 - 20 years","Master's degree","Woman","Accounting, Banking & Finance","Cash Logistics Manager"
"35-44",62000,"11 - 20 years","Master's degree","Woman","Social Work","Social Worker / Child Development Specialist"
"25-34",65000,"8 - 10 years","College degree","Woman","Nonprofits","Legislative Analyst"
"25-34",43680,"5-7 years","College degree","Woman","Health care","Medical Receptionist"
"25-34",103000,"5-7 years","College degree","Woman","Transport or Logistics","Technology Senior Business Analyst"
"25-34",65000,"8 - 10 years","College degree","Woman","Nonprofits","Senior Marketing Specialist"
"35-44",75000,"21 - 30 years","Master's degree","Woman","Education (Primary/Secondary)","High School counselor"
"18-24",72500,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Developer"
"35-44",86000,"11 - 20 years","College degree","Woman","Agriculture or Forestry","Group Leader, Crop Protection Environmental and Human Safety"
"25-34",75000,"11 - 20 years","College degree","Woman","Property or Construction","Energy Specialist"
"25-34",38000,"8 - 10 years","College degree","Woman","Media & Digital","Editor (Books)"
"25-34",63000,"8 - 10 years","Master's degree","Woman","Social Work","Medical Social Worker"
"35-44",39000,"11 - 20 years","Master's degree","Woman","Public Library","Children's Librarian"
"35-44",105000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Payroll Manager"
"45-54",53000,"21 - 30 years","High School","Woman","Property or Construction","Shop Coordinator"
"35-44",179000,"11 - 20 years","PhD","Woman","Computing or Tech","Senior user experience researcher"
"35-44",77000,"21 - 30 years","College degree","Woman","Marketing, Advertising & PR","Freelance content writer/copy editor"
"35-44",55000,"11 - 20 years","College degree","Woman","Media & Digital","Production Editor"
"55-64",43500,"21 - 30 years","College degree","Woman","Health care","Account Manager"
"25-34",92000,"5-7 years","College degree","Woman","Engineering or Manufacturing","Engineer"
"55-64",170000,"21 - 30 years","Master's degree","Woman","Government and Public Administration","Assistant General Counsel"
"45-54",87938,"21 - 30 years","College degree","Woman",NA,"Proposal Manager"
"25-34",125000,"5-7 years","PhD","Woman","Health care","Pharmacist"
"55-64",186000,"31 - 40 years","College degree","Man","Accounting, Banking & Finance","IT Director, Project Management"
"25-34",51000,"5-7 years","College degree","Woman","Media & Digital","Production Editor"
"25-34",61800,"8 - 10 years","College degree","Man","Accounting, Banking & Finance","Staff Accountant"
"25-34",155000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","SVP, risk management"
"35-44",40000,"11 - 20 years","College degree","Woman","Art & Design","Product Coordinator"
"25-34",71750,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Statistical Analyst"
"35-44",70000,"8 - 10 years","Master's degree","Man","Engineering or Manufacturing","Sales Account Manager"
"35-44",87000,"21 - 30 years","Master's degree","Woman","Business or Consulting","Managing Consultant"
"35-44",157000,"21 - 30 years","College degree","Woman","Computing or Tech","Program Manager"
"35-44",65000,"5-7 years","College degree","Woman","""Government Relations"" (Lobbying)","Assistant"
"25-34",42120,"2 - 4 years","College degree","Woman","Nonprofits","Senior research assistant"
"25-34",65000,"5-7 years","Master's degree","Woman","Business or Consulting","Research Associate"
"25-34",85000,"8 - 10 years","College degree","Man","Nonprofits","Community Support Manager"
"35-44",86000,"8 - 10 years","College degree","Woman","Computing or Tech","Junior Project Manager"
"35-44",85000,"11 - 20 years","College degree","Woman","Computing or Tech","Business Analyst"
"45-54",94000,"21 - 30 years","PhD","Woman","Education (Primary/Secondary)","teacher"
"45-54",104000,"21 - 30 years","Master's degree","Woman","Computing or Tech","Software Development Project Manager"
"45-54",88000,"8 - 10 years","College degree","Woman","Computing or Tech","Human Resources Manager"
"35-44",52000,"11 - 20 years","College degree","Woman","Government and Public Administration","Program Assistant"
"25-34",65000,"8 - 10 years","College degree","Woman","Computing or Tech","Programmer Analyst 2"
"45-54",175000,"21 - 30 years","College degree","Man","Computing or Tech","Sr development Manager"
"25-34",134000,"8 - 10 years","Master's degree","Woman","Business or Consulting","Consultant"
"35-44",98500,"21 - 30 years","College degree","Woman","Hospitality & Events","Controller"
"35-44",43000,"8 - 10 years","College degree","Woman","Health care","Registered behavior technician"
"45-54",36712,"11 - 20 years","College degree","Woman","Nonprofits","Office Administrator"
"35-44",112000,"11 - 20 years","College degree","Woman","Computing or Tech","Software Engineer"
